Target;TOTAL DOMICÍLIOS
Data;03-07-2019
Índice;RAT
Praça;GRANDE SALVADOR
Cliente;TV ARATU S A
Usuário;RENATA_ESQUIVEL
MIN;BASE;ARATU;RECORD TV ITAPOAN;TV BAND;BAHIA;TOTAL LIGADOS
02:41;292;1,1;0,4;0,7;1,7;5,9
02:40;292;1,1;0,4;0,7;1,7;5,9
02:39;292;1,1;0,4;0,7;1,7;5,9
02:38;292;1,1;0,4;0,3;1,7;5,6
02:37;292;1,1;0,4;0,3;1,7;5,9
02:36;292;1,1;0,4;0,3;1,7;5,9
02:35;292;1,1;0,4;0,3;2,1;6,1
02:34;292;1,1;0,4;0,3;2,1;6,1
02:33;292;1,1;0,4;0,3;2,1;6,1
02:32;292;1,1;0,4;0,3;2,1;6,1
02:31;292;1,4;0,4;0,3;2,1;6,5
02:30;292;1,4;0,4;0,3;2,1;6,5
02:29;292;1,4;0,8;0,3;2,1;6,8
02:28;292;1,4;0,8;0,3;2,1;6,8
02:27;292;1,4;0,8;0,3;2,1;6,8
02:26;292;1,4;0,8;0,3;2,1;6,8
02:25;292;1,4;0,8;0,3;2,1;6,8
02:24;292;1,4;0,8;0,3;2,1;6,8
02:23;292;1,4;0,8;0,3;2,1;6,8
02:22;292;1,4;0,8;0,3;2,1;6,5
02:21;292;1,8;0,8;-;2,1;6,5
02:20;292;1,8;0,8;-;2,1;6,5
02:19;292;1,4;1,2;0,3;2,1;6,7
02:18;292;1,4;0,8;0,3;2,1;6,7
02:17;292;1,4;0,8;0,3;2,1;7,1
02:16;292;1,4;0,8;0,3;2,1;7,1
02:15;292;1,4;0,8;0,3;1,7;7,1
02:14;292;1,4;0,8;0,3;1,7;7,1
02:13;292;1,4;0,8;0,3;1,7;7,1
02:12;292;1,4;0,8;0,3;1,7;7,5
02:11;292;1,4;0,8;0,7;1,4;7,9
02:10;292;1,4;0,8;0,7;1,4;7,9
02:09;292;1,4;0,8;0,7;1,4;7,9
02:08;292;1,4;0,8;0,7;1,4;7,9
02:07;292;1,4;0,8;0,7;1,7;8,2
02:06;292;1,4;0,8;0,7;1,7;8,2
02:05;292;1,4;0,8;0,3;1,7;8,2
02:04;292;1,4;1,2;0,3;1,7;8,2
02:03;292;1,4;1,2;0,3;1,7;8,2
02:02;292;1,4;1,2;0,3;1,7;8,2
02:01;292;1,8;1,2;0,3;2,0;8,8
02:00;292;1,8;1,2;0,3;2,3;9,2
01:59;292;1,8;1,2;0,3;2,3;9,2
01:58;292;1,8;1,2;0,3;2,4;9,5
01:57;292;1,8;1,2;0,3;2,4;10,0
01:56;292;1,8;1,2;0,3;2,4;10,0
01:55;292;1,8;1,2;0,3;2,4;10,2
01:54;292;2,1;1,2;0,3;2,8;10,9
01:53;292;2,1;1,2;0,3;2,8;10,9
01:52;292;2,5;1,2;0,3;2,8;11,3
01:51;292;2,5;1,2;0,3;3,1;11,3
01:51 - 02:41;292;1,5;0,8;0,4;2,0;7,6
